Iteration,Discriminator Loss,Generator Loss
4890,1.371978,0.710916
4900,1.385501,0.696415
4910,1.381648,0.712775
4920,1.376332,0.731716
4930,1.364450,0.747455
4940,1.364610,0.679919
4950,1.287188,0.668576
4960,1.345251,0.590090
4970,1.320406,0.564739
4980,1.344977,0.574046
4990,1.295077,0.572303
5000,1.353190,0.706337
5010,1.339137,0.504503
5020,1.380806,0.750073
5030,1.342448,0.655563
5040,1.313829,0.507567
5050,1.345827,0.723209
5060,1.364349,0.613305
5070,1.281695,0.751673
5080,1.385238,0.538983
5090,1.348174,0.705060
5100,1.325731,0.681857
5110,1.366443,0.506242
5120,1.324785,0.648543
5130,1.336770,0.673042
5140,1.288797,0.556789
5150,1.341583,0.466753
5160,1.393226,0.709148
5170,1.319330,0.744694
5180,1.390267,0.591424
5190,1.277936,0.721300
5200,1.367267,0.719899
5210,1.374372,0.594886
5220,1.324580,0.689445
5230,1.340939,0.500734
5240,1.406943,0.761475
5250,1.314437,0.969643
5260,1.366448,0.735061
5270,1.389299,0.707686
5280,1.377792,0.696133
5290,1.390415,0.520591
5300,1.368528,0.700528
5310,1.404377,0.685314
5320,1.221831,0.503740
5330,1.391385,0.607110
5340,1.372045,0.553066
5350,1.283101,0.752872
5360,1.374986,0.696766
5370,1.378203,0.824482
5380,1.363365,0.758754
5390,1.326972,0.644629
5400,1.283228,0.563215
5410,1.346291,0.759644
5420,1.337545,0.571179
5430,1.378953,0.720073
5440,1.382714,0.512708
5450,1.346599,0.697380
5460,1.288319,0.670442
5470,1.366792,0.635984
5480,1.369045,0.685960
5490,1.326695,0.515936
5500,1.264172,0.551906
5510,1.357629,0.723051
5520,1.286734,0.549509
5530,1.369701,0.438140
5540,1.363171,0.691790
5550,1.363808,0.738184
5560,1.373822,0.492286
5570,1.363183,0.724255
5580,1.311292,0.620216
5590,1.383883,0.533718
5600,1.355030,0.668826
5610,1.369803,0.674244
5620,1.313460,0.858269
5630,1.280988,0.696556
5640,1.314267,0.545183
5650,1.304162,0.537877
5660,1.278969,0.663073
5670,1.365311,0.699105
5680,1.336295,0.536663
5690,1.397562,0.724690
5700,1.290221,0.767926
5710,1.378901,0.629729
5720,1.410346,0.746743
5730,1.297199,0.741993
5740,1.347933,0.692726
5750,1.385279,0.727106
5760,1.327094,0.705713
5770,1.325936,0.568495
5780,1.355902,0.660284
5790,1.348018,0.676083
5800,1.335919,0.487295
5810,1.374444,0.714028
5820,1.315487,0.528960
5830,1.352983,0.617404
5840,1.327825,0.593423
5850,1.303666,0.612262
5860,1.372917,0.656286
5870,1.375866,0.747934
5880,1.282487,0.551786
5890,1.355872,0.772595
5900,1.371902,0.770536
5910,1.388748,0.573500
5920,1.338518,0.581238
5930,1.370693,0.694490
5940,1.340447,0.609398
5950,1.363303,0.545337
5960,1.353195,0.700652
5970,1.361639,0.806223
5980,1.362545,0.762734
5990,1.390411,0.604537
6000,1.328757,0.568695
6010,1.273760,0.562517
6020,1.302958,0.679183
6030,1.342795,0.663539
6040,1.305337,0.712113
6050,1.346398,0.553770
6060,1.346451,0.732927
6070,1.364071,0.646669
6080,1.364731,0.662400
6090,1.280070,0.560747
6100,1.345992,0.681141
6110,1.281246,0.684751
6120,1.346908,0.573718
6130,1.374570,0.635205
6140,1.292857,0.578598
6150,1.359821,0.614416
6160,1.396748,0.514622
6170,1.388026,0.789788
6180,1.335452,0.746186
6190,1.275907,0.666741
6200,1.380888,0.730756
6210,1.307108,0.589347
6220,1.370361,0.682703
6230,1.361648,0.630414
6240,1.343015,0.720804
6250,1.389906,0.678784
6260,1.390793,0.505409
6270,1.247853,0.775173
6280,1.344901,0.582509
6290,1.320621,0.606036
6300,1.252814,0.505670
6310,1.280003,0.612685
6320,1.279421,0.615316
6330,1.267990,0.526787
6340,1.364780,0.617652
6350,1.283357,0.586618
6360,1.314181,0.731847
6370,1.311368,0.605339
6380,1.352837,0.665089
6390,1.385829,0.749911
6400,1.371390,0.727680
6410,1.346829,0.606285
6420,1.249757,0.612664
6430,1.297251,0.505546
6440,1.365558,0.614734
6450,1.363990,0.690820
6460,1.335794,0.517050
6470,1.341035,0.756224
6480,1.388722,0.694210
6490,1.342871,0.572990
6500,1.331612,0.639724
6510,1.264674,0.652435
6520,1.373682,0.656190
6530,1.313286,0.799828
6540,1.302969,0.681941
6550,1.235666,0.569940
6560,1.316824,0.535918
6570,1.366050,0.726835
6580,1.375250,0.644660
6590,1.311113,0.603268
6600,1.374089,0.702227
6610,1.358914,0.688116
6620,1.315439,0.667586
6630,1.379323,0.578224
6640,1.345443,0.676171
6650,1.322307,0.742800
6660,1.347729,0.618688
6670,1.316069,0.630083
6680,1.311676,0.544584
